;             Ministério da Educação;;;;;;;;;;;;;;;;;;;;;;
;                     Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
                                                                                                    Taxa de Distorção Idade-Série por Município - 2014;;;;;;;;;;;;;;;;;;;;;;;
Taxa de Distorção Idade-Série, por Dependência Administrativa e Localização, nos Níveis de Ensino Fundamental de 8 e 9 anos e Médio, segundo a Região Geográfica, Unidades da Federação e seus respectivos Municípios em 2014. ;;;;;;;;;;;;;;;;;;;;;;;
Ano;Região;UF;Código do Município;Nome do Município;Localização;Rede;Taxa de Distorção Idade-Série - Ensino Fundamental de 8 e 9 anos;;;;;;;;;;;;Taxa de Distorção Idade-Série - Ensino Médio;;;;
;;;;;;;Total Fundamental;1º ao 5º Ano;6º ao 9º Ano;1º Ano;2º Ano;3º Ano;4º Ano;5º Ano;6º Ano;7º Ano;8º Ano;9º Ano;Total Médio; 1ª Série; 2ª Série; 3ª Série; 4ª Série
;;;;;;;;;;;;;;;;;;;;;;;
ano;NO_REGIAO;SIGLA;PK_COD_MUNICIPIO;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
2014;Sudeste;RJ;3300159;APERIBE;Rural;Total;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300159;APERIBE;Rural;Municipal;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300159;APERIBE;Rural;Publico;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300159;APERIBE;Urbana;Total;17.3;11.3;24.2;3.4;2.4;3.1;20.9;21.7;26.5;27.6;17.5;24.8;20.4;24.6;20.9;14.6;--
2014;Sudeste;RJ;3300159;APERIBE;Urbana;Estadual;23.9;--;23.9;--;--;--;--;--;22.4;22.4;19.6;27.1;20.4;24.6;20.9;14.6;--
2014;Sudeste;RJ;3300159;APERIBE;Urbana;Municipal;16.1;11.8;24.4;2.6;2.9;3.4;20.1;22.3;28.9;31.1;16.3;20.4;--;--;--;--;--
2014;Sudeste;RJ;3300159;APERIBE;Urbana;Privada;5.5;5.5;--;8.3;--;--;40;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300159;APERIBE;Urbana;Publico;17.9;11.8;24.2;2.6;2.9;3.4;20.1;22.3;26.5;27.6;17.5;24.8;20.4;24.6;20.9;14.6;--
2014;Sudeste;RJ;3300209;ARARUAMA;Total;Total;31.3;24.7;40.3;7.2;10.6;28.2;35;35.8;47.3;41.9;35;33.2;34.2;36.9;35.2;29.2;--
2014;Sudeste;RJ;3300209;ARARUAMA;Total;Estadual;47.6;--;47.6;--;--;--;--;--;--;--;--;47.6;40.9;43.4;42.2;35.8;--
