cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330452;RIO DAS OSTRAS;Total;Total;24.4;19.4;30.8;6.6;16.1;22.3;25.6;25.6;35.4;32.2;27.5;26.7;26.6;31.8;25.7;18.1;--
330455;RIO DE JANEIRO;Total;Total;19.9;13.7;27.4;4.9;7.6;15.9;20.1;17.8;30.8;28.6;27.9;20.8;33.1;34.7;33.9;29.4;32.3
330460;SANTA MARIA MADALENA;Total;Total;35.3;29.1;44.1;2.7;4.2;39.2;31.3;50.8;42.4;50.9;36.2;43.5;29.2;28.8;29.6;29.4;--
330470;SANTO ANTONIO DE PADUA;Total;Total;18.7;12.6;25.3;2.7;4.6;13.1;17.8;22.2;22.5;28.9;24.8;25;22.4;22.7;23.5;20.7;--
330475;SAO FRANCISCO DE ITABAPOANA;Total;Total;37.5;32.4;45.2;8.9;13.3;39.4;46.4;45.6;51.2;47.9;39.7;38.5;38.6;41.8;40.1;31.8;--
330480;SAO FIDELIS;Total;Total;23.1;16.8;30.3;4.6;7.5;21.8;23.7;22.4;35.8;31.7;26.1;26.9;30.1;36.6;25.9;25.9;--
330490;SAO GONCALO;Total;Total;30;23.4;37;13.6;18.5;29.1;23.4;29.7;38.9;41.2;32.1;34.5;31.5;37.3;29.3;24.1;--
330500;SAO JOAO DA BARRA;Total;Total;37.2;32;44.4;21.9;29.7;32.4;38.4;38.7;48.2;48.5;37.4;40;38.6;41.2;39;33.2;--
330510;SAO JOAO DE MERITI;Total;Total;26.4;20;33.7;8.4;13.1;23.4;26;26.7;31.8;38.2;29.6;34.7;31.8;34;30.7;29.1;80
330513;SAO JOSE DE UBA;Total;Total;19.7;10.2;30.2;--;3.9;11.5;11.6;21.3;26;23.3;35.2;33.6;35.7;31.6;42;34.2;--
330515;SAO JOSE DO VALE DO RIO PRETO;Total;Total;33;26.4;40.9;14.8;33.1;21.9;31.9;30.6;51.7;43.5;36.2;25.9;26.4;32.6;29.9;8.8;--
330520;SAO PEDRO DA ALDEIA;Total;Total;32.7;26.6;40.4;17.7;25.3;27.8;31.8;31;43.2;41.6;36.7;38.6;35.2;40.4;33.5;29;--
330530;SAO SEBASTIAO DO ALTO;Total;Total;33.6;30.2;38;2.1;31;30.7;40.3;41.4;41.3;35.2;27.9;45;37.8;46.7;36.6;29.8;--
330540;SAPUCAIA;Total;Total;38.6;33.1;45.3;14.8;30.1;40.1;37.3;45.6;45.3;57.4;32.7;39.8;31.7;33.7;33.5;26.9;--
330550;SAQUAREMA;Total;Total;34.6;30.8;39.1;19.3;31.1;32.3;36.3;36;43.1;40.7;36.9;33.4;36.2;36.7;35.2;36.9;--
330555;SEROPEDICA;Total;Total;32.8;32.9;32.6;25.5;29.9;37.2;37.5;35.1;41.1;33.1;30.5;23.9;29.7;34.7;27.2;25.1;--
330560;SILVA JARDIM;Total;Total;37.8;35.4;41.3;19.6;30.3;36.6;44.4;46.6;50.5;39.4;36.9;35.2;38.6;46.6;38.1;23.6;--
330570;SUMIDOURO;Total;Total;35.4;31.2;41.7;2.1;24;39.5;46.6;36.7;43.1;39.7;41.5;42.6;34.1;35.1;36.1;31.4;--
330575;TANGUA;Total;Total;38;31.1;47.1;18.3;30.7;31;35.7;41.5;52.7;43.8;43.4;44.8;43.7;46.3;43.4;36.8;--
330580;TERESOPOLIS;Total;Total;26.4;19.4;34.3;4.3;13.1;22.5;24.9;29.1;36.1;35.8;34.3;29.9;28.8;34.8;27.8;19.5;--
330590;TRAJANO DE MORAES;Total;Total;26.4;19.6;34.6;3.2;3.1;28.4;24.5;31;33.9;39.9;29.8;34;39;32.6;44.3;41.7;--
330600;TRES RIOS;Total;Total;33.6;29.2;39.3;7.6;28;35.5;36.7;36.5;44.4;41.1;37.8;32.6;32.4;36.9;35.6;22.2;--
330610;VALENCA;Total;Total;33.8;28.8;40;5;28.2;34.8;37.7;35.2;39.8;45.4;38.1;35.8;32.4;37.9;32.8;23.2;--
330615;VARRE-SAI;Total;Total;31.2;19.5;47.8;3.9;7.3;21.9;27.4;36.7;47.6;52.8;42.1;47.5;36;41.2;39.6;24.7;--
330620;VASSOURAS;Total;Total;36.1;30;43.7;16.9;23.3;32;36;41.4;42.3;50.6;41;38.9;34.2;40.2;33.4;25.5;--
330630;VOLTA REDONDA;Total;Total;21.3;15.6;27.4;2;11;17.6;21.5;24.1;31.5;29.8;24;23.6;23.9;28.5;23.4;17.9;--
