cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330210;ITAOCARA;Total;Total;21.5;16.5;26.9;6.3;18.1;21.7;17.1;18.3;26.4;30.3;21.4;28.6;22.9;31.3;19;16.5;--
330220;ITAPERUNA;Total;Total;20;13.6;27.2;3;4.5;18.4;16.7;21.9;26;29.5;24.8;28.6;25.1;30.4;24;18.8;15
330225;ITATIAIA;Total;Total;30.5;25.4;38.2;1.8;19.8;25.5;37.1;41;43.5;42.6;36.2;25.8;29.3;39.5;23.2;15.7;--
330227;JAPERI;Total;Total;32.8;24.7;43;6.3;10.2;31.4;30.3;38.8;41.9;45.7;39.9;44;42.8;47.3;39.8;39.4;--
330230;LAJE DO MURIAE;Total;Total;31;18;44.8;3;1.1;21.3;28.8;29;43.7;43.2;38.3;53.1;32.3;36.1;24.7;34.3;--
330240;MACAE;Total;Total;27.2;19.2;37.9;6.1;15;22.5;26.9;25.7;41.9;39.5;36.2;31.7;34;39.6;32.7;27.1;19.7
330245;MACUCO;Total;Total;29.3;24.4;36.3;19.6;20.1;30.3;28.5;23.6;29.9;44.8;34.8;34.2;38.2;47.7;34.7;25.8;--
330250;MAGE;Total;Total;31.8;27.8;37;9.1;20.1;35.1;39.3;32.5;43.5;40.7;32.7;29.2;32.4;38.5;31.5;23.8;--
330260;MANGARATIBA;Total;Total;24.2;18.7;30.7;6.2;11.4;24;23.2;25.7;34.9;34.3;28.6;21.5;40.2;48.9;36.6;25.9;--
330270;MARICA;Total;Total;27.9;21.2;36.8;6;13.1;28.7;31.8;31;38.5;42.2;33.1;32.1;30.2;35.3;28.1;25.7;10.4
330280;MENDES;Total;Total;31;24.5;38.5;12.1;15.5;21.8;30.7;40.5;44.6;37.5;36.2;34.5;30.6;40.1;30.7;18.4;--
330285;MESQUITA;Total;Total;25.4;18;33.9;7.3;10.8;17.2;26;25.8;34.7;35.9;31.3;33.5;33.6;39.5;30.9;26.3;--
330290;MIGUEL PEREIRA;Total;Total;29.1;16.3;40.8;4.5;5.7;18.5;24.8;24.2;38.1;45.9;36.7;42.3;30.2;37;28.9;22;--
330300;MIRACEMA;Total;Total;30.2;23.8;38.1;10.8;17.4;28.3;29.4;32.1;38.1;41.1;33.1;39.9;36.2;42.9;31;33.8;--
330310;NATIVIDADE;Total;Total;16.9;11.2;23.2;1.9;2;15.4;13.3;19.5;19.4;24.8;22.1;25.8;21.9;27.1;20;17;--
330320;NILOPOLIS;Total;Total;24.8;18.1;31.8;7.7;10.9;19.9;24;25.1;32.5;34.2;30.7;29.9;28.6;35.8;26.2;20.5;--
330330;NITEROI;Total;Total;23.1;16.8;29.9;9.6;11;20.2;19.3;22.8;27.6;33.5;28;30;26.3;32.3;24.9;18.8;86.7
330340;NOVA FRIBURGO;Total;Total;26.2;19.1;34.8;4.3;6.6;23.5;28.9;26.7;34.3;37.1;31.8;35.5;29.9;36.9;27.2;19.8;96.9
330350;NOVA IGUACU;Total;Total;27.7;21.4;34.7;9.7;12.4;21.6;30.1;29.8;34;38.1;32.4;34;29.9;34.6;28.7;24.1;--
330360;PARACAMBI;Total;Total;25.6;18.5;32.9;2;12.9;24.2;25.2;27;33.8;37.4;30.7;28.5;35;42.7;33.9;26.5;--
330370;PARAIBA DO SUL;Total;Total;28.6;23;35.9;3;20.5;24.7;31.9;33.9;42;38.2;31.2;31;31.7;35.8;32.9;22.6;--
330380;PARATY;Total;Total;30;25.4;36.1;8.3;16.4;30.5;33.3;36.8;37.7;37.9;32.8;35.6;29.4;35.6;27.1;22.9;--
330385;PATY DO ALFERES;Total;Total;26;18.3;34.7;4.9;12.4;19;28.1;25.9;34;34.6;38;32.6;33;37.5;32.7;26.5;--
330390;PETROPOLIS;Total;Total;29.8;23.9;36.5;11.7;21.3;25.1;29.4;31.3;38.8;40.4;35.4;30.3;31.5;35.7;30.8;26.2;--
330395;PINHEIRAL;Total;Total;30.5;20.9;43.1;3.7;14.3;25.8;28.1;29.9;48.7;48.5;38.5;28.5;24.5;28;25.2;18.9;--
330400;PIRAI;Total;Total;29;21;37.6;2.2;17.1;18.8;30.9;30.5;45.2;38.3;33.4;30.7;38.3;40.3;42;29.7;--
330410;PORCIUNCULA;Total;Total;27;17.5;37.1;2;3.3;23.5;25;29.5;39.1;41.6;34.5;32.2;29.4;40.9;23.3;20.6;--
330411;PORTO REAL;Total;Total;25;12;42.9;0.4;2;4.7;25;28;51.6;41.8;35.3;39;26.3;33.1;23.7;18.7;--
330412;QUATIS;Total;Total;31.1;21;43.1;0.7;0.5;29.1;27.7;35.4;46.8;49.1;37.5;37.8;38.5;42.6;42.5;27;--
330414;QUEIMADOS;Total;Total;26.4;18.7;35.5;6.3;8.9;19;27.2;28.1;34.4;36.3;35.3;36.2;37.4;40.5;37.5;32.1;--
330415;QUISSAMA;Total;Total;28.1;19.6;37.6;3.8;7;22.9;26.9;32.9;43.9;38.4;34.4;31.3;38.3;42.7;34.9;33.8;--
330420;RESENDE;Total;Total;20.1;12.2;29.2;1.7;2.6;15.1;21.5;19.7;32.6;32.3;26.6;25.1;20.8;27.5;20.1;11.6;--
330430;RIO BONITO;Total;Total;31.1;25.8;37.4;13.6;22.4;26.1;34.7;31.4;46.8;42;32.6;28.8;30.5;38;26.3;23.2;--
330440;RIO CLARO;Total;Total;30.1;24.9;36.9;1.3;8.4;34;38.8;38.5;44.7;35.3;38.5;25.8;34.9;44.1;30;29.9;--
330450;RIO DAS FLORES;Total;Total;35.2;29.1;43.4;3;19.3;32.5;35.7;47.3;42.8;40;46.2;45.3;44.2;49.2;41.2;40.5;--
330452;RIO DAS OSTRAS;Total;Total;24.1;18.4;31.3;6.3;15.5;19.2;24.1;25.7;35.5;33.7;29.9;24.4;26;31.7;24.6;19.3;--
330455;RIO DE JANEIRO;Total;Total;19.9;14.4;26.6;5.5;6.7;18.9;19.2;18.7;28;30.1;28.1;19.2;31.9;35.9;30.2;27.6;21.4
330460;SANTA MARIA MADALENA;Total;Total;33.4;26.5;43;2.3;6.2;30.3;33.3;47.8;40.3;48;44.1;35.7;34.4;49.4;23.7;23.4;--
330470;SANTO ANTONIO DE PADUA;Total;Total;17.5;10.7;24.7;3.3;5.9;12.4;11.8;18.3;27.5;24.2;22.3;24.8;22.6;25.4;19.7;22.1;--
330475;SAO FRANCISCO DE ITABAPOANA;Total;Total;35.5;28.8;45.3;5.2;10.7;32.7;40.2;45.1;48;49.7;40.9;41.7;39.9;45.9;37.5;32.5;--
330480;SAO FIDELIS;Total;Total;21.5;15.8;28.2;5.2;6;16.5;26;22.7;27.4;33.6;28.6;22.7;29.4;32.7;31.6;22.1;--
330490;SAO GONCALO;Total;Total;30.5;24;37.5;14.4;18;29.5;27.5;28.7;37.6;41.8;35.7;34.3;31.7;38.1;30.2;22.7;--
330500;SAO JOAO DA BARRA;Total;Total;35.6;31.1;41.9;16.9;31.1;34.7;35.1;38.4;47.3;42.7;37.5;38.2;37.4;42;33.6;35.2;--
330510;SAO JOAO DE MERITI;Total;Total;25.3;19.5;32.1;9;12.8;24;24.6;25.7;31.5;35.9;29.6;31.2;31.2;35.7;28.9;26.4;--
330513;SAO JOSE DE UBA;Total;Total;21.3;9.6;33.8;--;--;15.8;8.9;18.6;29.2;30.7;35.6;38.7;28.9;25.3;21.8;40.2;--
330515;SAO JOSE DO VALE DO RIO PRETO;Total;Total;30.1;23.4;38.6;13.5;17;32.9;24.8;26.5;42.7;43.8;38.7;23.1;27.1;33.7;22.8;23;--
330520;SAO PEDRO DA ALDEIA;Total;Total;31.4;25.9;38.4;16.8;24.2;29.8;27.8;31.4;40.5;40.8;37.1;34;36;43.8;33.6;25.8;--
330530;SAO SEBASTIAO DO ALTO;Total;Total;29.8;25.8;35.4;2.2;24;25.9;35.4;38.7;44.3;36.5;27.6;30.8;35.8;44.8;32.4;26.2;--
330540;SAPUCAIA;Total;Total;36.3;30.2;43.9;14.8;24.6;33;42.1;37.7;50.8;45.4;36.1;41.4;33.6;41.4;27.8;30.9;--
330550;SAQUAREMA;Total;Total;33.3;28.2;39.2;15.6;29;31.3;30.8;34.1;42.8;43.8;36.2;32.2;31.9;36.3;29.6;28.6;--
330555;SEROPEDICA;Total;Total;30.6;28.9;32.9;5.4;21.6;37.6;37.9;35.8;39.8;34.5;29.1;26.5;29.8;33.5;31.2;23.1;--
330560;SILVA JARDIM;Total;Total;35.9;29.7;44.6;7;18.9;36.7;40.9;40.7;55.8;46.1;38.4;33.9;39.6;45;34.7;34.5;--
330570;SUMIDOURO;Total;Total;34.5;31.3;39;1.1;30;38.2;39.3;42.4;38.1;43.3;36.6;38;36;40.7;32;33.3;--
330575;TANGUA;Total;Total;35.5;28.7;44.8;13.5;21.3;35.7;34.7;39;50.7;47.1;38.2;37.9;44.9;51.9;42.5;33.8;--
330580;TERESOPOLIS;Total;Total;25.3;17.5;34.1;3.5;12.6;18;23.6;27.1;36.2;37.4;30.4;31.2;28.1;31.4;29.1;21;--
330590;TRAJANO DE MORAES;Total;Total;24.1;16.9;32.7;4.1;2.7;20.2;25.3;28.3;31.1;33.3;32.5;33.7;34.4;30.8;32.3;41.7;--
330600;TRES RIOS;Total;Total;30.9;25.3;38;7.1;9.5;33.8;34.7;36;39.4;43.3;36.2;31.9;33.9;37.7;31.9;30.4;--
330610;VALENCA;Total;Total;32.1;27;38.7;3.8;9.1;36.7;38.3;38.4;36.3;42.5;36.8;38.6;32.3;34.8;32;29.6;--
330615;VARRE-SAI;Total;Total;29.9;19.3;44.9;4.8;5;25.5;23.7;33.8;41.5;46.9;47.2;44.7;35;41.5;29.5;29.6;--
330620;VASSOURAS;Total;Total;33.5;26.1;42.2;7.4;19;27.7;35.8;35.9;42.5;43.2;42.2;40.9;34.7;42.1;31.1;28.2;--
330630;VOLTA REDONDA;Total;Total;21.2;14.8;28;2.3;10.8;16.9;19.7;21.8;30;31.8;27.1;22.7;24.2;28.4;23.4;18.5;--
