cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330010;ANGRA DOS REIS;Total;Total;30.1;21.5;40.8;7.7;10.6;23.3;27.9;34;42.1;45;39.5;35.1;40.3;43.6;37.9;38.3;--
330015;APERIBE;Total;Total;17.2;11.1;24.2;3.4;2.4;3.1;20.4;21.4;26.5;27.6;17.5;24.8;20.4;24.6;20.9;14.6;--
330020;ARARUAMA;Total;Total;31.3;24.7;40.3;7.2;10.6;28.2;35;35.8;47.3;41.9;35;33.2;34.2;36.9;35.2;29.2;--
330022;AREAL;Total;Total;29;21.1;38.4;0.7;4.8;25.6;36.6;29.5;44.7;38.4;33.8;35;31;35.7;29.9;27;--
330023;ARMACAO DOS BUZIOS;Total;Total;38.4;32.7;45;16.7;33.3;32.4;39.5;41.1;49.5;39.5;51.4;35.8;45.4;50.1;43.4;31.1;50
330025;ARRAIAL DO CABO;Total;Total;33.5;27.2;42.6;17.5;20.5;31.8;33.3;33;53.1;41.2;39.7;32.8;30.3;34.3;32.7;19.4;--
330030;BARRA DO PIRAI;Total;Total;35.5;31.8;40.5;20.4;30.6;34.6;38;35.8;38.8;44.8;41.8;36;32.9;40.1;30.4;24.9;--
330040;BARRA MANSA;Total;Total;22.2;14.2;33;2.4;2.3;17.8;23.9;25.4;36.5;36.2;30.6;27.7;29.5;33.7;28.1;25.2;--
330045;BELFORD ROXO;Total;Total;29.4;24.9;35;8.1;21.5;30.3;31.4;30.6;36.3;38.4;33.3;31.3;34.1;39.3;33;27.2;--
330050;BOM JARDIM;Total;Total;38.2;29.9;48.3;5.8;25.7;31.1;37.8;42;42.9;57.3;35.9;52.7;36.8;41.7;33.5;33;--
330060;BOM JESUS DO ITABAPOANA;Total;Total;17.4;9.9;24.5;2.6;5.6;11.8;12.5;14.7;23;26.8;23.2;25.1;23.1;24.6;21.1;23.4;--
330070;CABO FRIO;Total;Total;34.2;28.9;41;17.6;27.7;32.8;34.7;33.1;43;45;38.9;36;32.4;38.7;31;23.9;23
330080;CACHOEIRAS DE MACACU;Total;Total;30.8;22.9;40.4;2.9;6.7;31.9;34.3;34.9;42;44.4;36;38.2;36.4;40.8;33.7;32.5;35.7
330090;CAMBUCI;Total;Total;25.7;18;34.1;5;9.6;24.3;22.3;23.7;38.7;35.8;30.2;32.5;37.8;45.2;28.1;39;--
330093;CARAPEBUS;Total;Total;26.4;18.9;36.8;3.1;19.5;25.7;23.4;21.6;40.5;41.8;35.4;27.1;32.7;37.8;32.9;27.9;--
330095;COMENDADOR LEVY GASPARIAN;Total;Total;31.4;23.7;41.2;4.4;20.9;27.1;29.6;37.5;40.1;47.5;42.2;32.8;48.2;54;42.4;47.1;--
330100;CAMPOS DOS GOYTACAZES;Total;Total;39.6;36.4;44.2;26.2;37;41.1;40;39.1;48.6;48.5;39.4;38.3;33.3;39.5;31.5;25.7;55.2
330110;CANTAGALO;Total;Total;33.7;28.1;40.9;7;16.7;30.5;42.6;41.6;49;46;35.1;32.2;30.5;36;28.8;24;--
330115;CARDOSO MOREIRA;Total;Total;42.2;40.6;44.7;31.7;41.3;44.6;44.4;41.7;53.2;43.9;42.5;36;36.1;47.1;34.2;23.3;--
330120;CARMO;Total;Total;30.1;26.7;34.5;2.2;31.2;34.1;31.9;30.2;34.6;35.2;40;26.8;27.9;32.6;27.5;21.2;--
330130;CASIMIRO DE ABREU;Total;Total;23.3;17.4;31.7;6;8.2;21.1;24.1;25.1;32.7;36.3;31.5;25.3;32.8;39;30.7;26.1;--
330140;CONCEICAO DE MACABU;Total;Total;23.4;19.4;28.5;4;16.4;23.4;24.8;25.9;30;32.6;24.8;26.4;28.9;35.2;26.7;20.5;--
330150;CORDEIRO;Total;Total;24.4;19;30.6;4.5;13;26.6;22.8;24.6;31.4;33.4;24.3;32.9;25.8;29.7;24.1;23;--
330160;DUAS BARRAS;Total;Total;33.9;27.7;42.6;6.8;11.1;30.3;36.7;43;47.6;38.1;42.3;40.9;38.8;41.4;37.3;36.6;--
330170;DUQUE DE CAXIAS;Total;Total;30;24.8;35.8;11.8;15.1;29.7;32.4;31.8;37;40.1;32.7;33.1;34.4;38.3;31.6;30.1;90
330180;ENGENHEIRO PAULO DE FRONTIN;Total;Total;24.8;23.9;25.7;15.4;26.5;21.9;31.6;23.2;37.6;29.3;18.5;15.7;22.7;23.4;26;18.7;--
330185;GUAPIMIRIM;Total;Total;31.6;23.7;42.6;3.8;7.8;30.4;35.7;33.3;47.5;48.2;39.1;31.1;33.5;39.2;29.3;29.5;--
330187;IGUABA GRANDE;Total;Total;31.5;22.8;40.8;8.6;17.3;26.6;29.1;31.9;39.9;48;36.1;38.2;34.6;42.9;29.1;24.6;--
330190;ITABORAI;Total;Total;32.6;27.3;39.4;9.6;13;33.5;38;35.9;41.9;44.5;37.2;32.7;36;40.6;35.1;29.6;--
330200;ITAGUAI;Total;Total;28.3;21.7;36.6;4.9;15.1;23.3;30.8;31.2;41.5;41.3;32.8;28.4;33.6;37.5;31.5;30.3;--
330205;ITALVA;Total;Total;27.8;24.3;32;17.5;18.7;30.3;27.4;28;33.7;41.8;25.7;26.1;28.1;32.7;28.8;21.4;--
