cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330010;ANGRA DOS REIS;Total;Total;32.3;26.2;40;13.5;15.2;30.9;33.2;36.3;43.4;39.5;38.3;37.7;46.1;48.6;46.9;41.5;38.8
330015;APERIBE;Total;Total;18;13.9;23;2.9;11.8;12.5;13.1;28.2;23.2;26.5;25;15.7;26.7;31.4;25.5;20.9;23.1
330020;ARARUAMA;Total;Total;32.6;28.8;37.8;10;15.7;35.1;38.1;39.6;46.1;42.8;36.7;27.1;38.4;43.1;37.5;33.5;27.7
330022;AREAL;Total;Total;30.6;25.2;38.1;5.1;20.1;28.3;35.4;30.9;39.9;43.8;37.5;27.1;33.6;33.7;41.6;16.7;--
330023;ARMACAO DOS BUZIOS;Total;Total;37.8;33.7;42.6;21.8;31.3;36.1;40.9;40.5;48.2;43.8;39.7;35.5;45.5;53;40.3;31.2;40
330025;ARRAIAL DO CABO;Total;Total;33.3;28.2;40;14;26.2;28.3;39.7;34.4;44.5;45.3;34.2;31.5;41.1;47.2;36.8;33.8;66.7
330030;BARRA DO PIRAI;Total;Total;35.4;32.7;39.3;22.3;30.1;35.3;36.6;40.1;45.4;39.7;35.4;34.3;33.6;40;29.6;26.9;52.5
330040;BARRA MANSA;Total;Total;24.4;18.7;31.3;8.2;12.7;20.3;23.8;27;34.1;33.6;29.6;26.5;35.9;38.9;36.2;30.5;27.5
330045;BELFORD ROXO;Total;Total;30.8;25.1;37.2;7.4;20.7;27.9;31.8;33.7;39.9;38.3;35.9;32.8;39.2;41.5;39.5;35;34.9
330050;BOM JARDIM;Total;Total;39.7;31.9;50.1;3.2;27.2;31.3;40.4;49.4;50.9;52.9;48.5;46.4;41.5;40.4;42;44.4;--
330060;BOM JESUS DO ITABAPOANA;Total;Total;20.6;14.7;26.5;5.1;9.2;15.9;18.8;22.4;26.9;27.4;27.6;23.7;27;32.4;24.6;22.7;20.8
330070;CABO FRIO;Total;Total;35.3;30.5;41.4;19.6;28.7;33.4;35.9;35.9;45.7;42.3;39.9;35.1;32.6;39.5;32.1;23;11
330080;CACHOEIRAS DE MACACU;Total;Total;35.6;29.8;42.2;17.4;24.7;35.3;34;37.6;47.9;42.3;38.1;38.6;41.7;45.7;43.1;34.6;26.8
330090;CAMBUCI;Total;Total;28.3;25.6;31.6;21.9;15.5;27.2;34.1;29.9;32.1;33.3;30.1;30.3;41.7;47.8;35.4;46.6;20.6
330093;CARAPEBUS;Total;Total;27.5;22;34.3;3;17.2;21.1;31.9;34.7;41.5;36.6;28.6;28.4;40;42.1;38.2;38.6;--
330095;COMENDADOR LEVY GASPARIAN;Total;Total;40.8;34;48.1;13.2;34.2;42.7;37.5;45.9;43.1;48.5;55.5;45.3;46.6;47.3;43.4;50;--
330100;CAMPOS DOS GOYTACAZES;Total;Total;40.6;39.6;42.1;30;38.6;43.9;43.6;44.3;47.5;41.9;40.3;36.4;34.1;39.4;33.9;24.7;42.1
330110;CANTAGALO;Total;Total;38.7;38;39.8;26.4;33.8;37.4;50.8;42.2;45.4;41.8;37.4;31.1;27.9;32.9;22.2;24.6;38.9
330115;CARDOSO MOREIRA;Total;Total;45.1;43.7;47.3;38.6;39;43.2;49.8;48.5;54;48.3;46.3;36.3;35.2;42.6;24.5;28.8;54.5
330120;CARMO;Total;Total;31.2;28.2;35.6;6.6;24.1;35.3;36.6;34.6;43.1;33.5;34.5;29.5;31;31.7;31.3;29.6;25
330130;CASIMIRO DE ABREU;Total;Total;23.8;17.1;32.6;10.4;7.4;19.3;22.9;24.2;38.7;34.8;30.6;23.2;39.6;45.6;36;33.2;26.3
330140;CONCEICAO DE MACABU;Total;Total;24.6;18.8;31.4;5.5;14.9;22.6;23.6;26.7;31.5;31.6;31.6;30.7;30.4;36.3;29.2;19.9;31
330150;CORDEIRO;Total;Total;28.3;22.8;34.4;16.8;19.3;25.8;27.1;25.3;37.1;37.5;35;26.2;24.6;31.8;21.9;17.2;--
330160;DUAS BARRAS;Total;Total;36.5;29.5;46.6;6.6;15.2;34.4;37.1;43.9;50.7;52.3;38;39.7;39.6;46.6;42.3;21.6;--
330170;DUQUE DE CAXIAS;Total;Total;30.9;25.8;36.1;13.3;15.2;29.4;32.8;34;41.3;36.7;33.9;30.9;40.8;44.5;39.4;34.3;57.8
330180;ENGENHEIRO PAULO DE FRONTIN;Total;Total;22.6;21.1;24.5;9.6;23.2;23.6;25;24;28.3;21.9;24.1;23.2;21.7;25.5;19.2;18.5;25
330185;GUAPIMIRIM;Total;Total;35.3;31.6;40;21.8;31;34.4;39.5;33.1;45.7;41.4;35.6;32.7;40.8;46.9;38.7;34.3;26.9
330187;IGUABA GRANDE;Total;Total;30.4;25.4;36;11.8;23.1;28.9;34.5;28.5;39.4;37.9;34.9;30.3;31;36.1;32;22.1;27.8
330190;ITABORAI;Total;Total;33.2;29.8;37.4;11.3;30.2;31.9;34.4;37.8;43.4;38.1;34.2;31.1;38.3;42.2;37.4;32.7;31.9
330200;ITAGUAI;Total;Total;29.4;24.2;35.8;6.8;17.5;28.2;32.4;33.5;40.9;37.1;34.1;28.8;40.2;42.1;41.7;34.7;37.3
330205;ITALVA;Total;Total;28.1;24.3;33.2;6.4;17.9;24.9;31.3;37.6;33.2;35.6;31.7;31.5;33.2;30.6;34.6;36;27.3
330210;ITAOCARA;Total;Total;24.5;18;32.3;4;13.4;18.8;25.8;25;36;37.9;30.2;21.5;20.5;24.7;21.3;14.9;4.8
330220;ITAPERUNA;Total;Total;23.1;16.6;30.8;2.9;5.1;21.8;22.1;26.7;33.1;31.1;30.7;27.6;25.8;31;25.7;16.5;28.2
330225;ITATIAIA;Total;Total;30.8;25.7;38.5;3.3;20.7;34.2;33.3;34.4;46;37.2;37.3;29.8;26.8;37.6;24.1;12.7;--
330227;JAPERI;Total;Total;36.2;28.3;46.1;11.9;21.4;32;35.2;38.5;48.9;45.9;45.5;43;49.8;53.6;50.5;43.1;33.3
330230;LAJE DO MURIAE;Total;Total;33.4;23.3;45.1;6.3;5.1;20.1;35.4;39.6;46.6;44.5;48.4;39.7;37.9;41.9;43.1;30.7;33.3
330240;MACAE;Total;Total;27.4;21.8;34.9;9;17.8;24.9;28.8;29.4;39.5;36.4;30.7;30.4;34.1;40.8;31.7;25.9;22.8
330245;MACUCO;Total;Total;31.7;25.6;40;13.6;24.3;24.8;24.6;41.6;44.2;43.2;38.5;29.2;34.2;39.1;38.5;18.4;28.6
330250;MAGE;Total;Total;34.8;32.3;38.1;20.4;33.4;31.3;38.6;37.7;44.8;38.9;34.3;31.7;34.5;39.5;35.4;25.6;19.8
330260;MANGARATIBA;Total;Total;28.9;22.7;36.4;7.5;17.2;25.7;26.8;32.4;38.5;38;36.3;30.6;41.5;44.9;41.1;36;33.3
330270;MARICA;Total;Total;30.7;27.3;34.9;16.6;23.8;30;31.8;34.5;35.9;37.1;34.3;31.3;33.6;36.1;34.4;29.5;24.1
330280;MENDES;Total;Total;29.3;23.9;35.4;11;25.1;30.3;28.5;25;42.9;36.3;32.5;27.5;31.6;38.6;25.2;26.5;--
330285;MESQUITA;Total;Total;26.6;18.7;35.3;8.3;11.1;18.9;26.5;26.1;38.4;38.3;32.2;30.6;35;40.7;35.1;23.9;36.4
330290;MIGUEL PEREIRA;Total;Total;30.2;19;40.6;4.4;7.1;19.5;27.7;31.2;38.9;49.7;39.4;32.2;33.2;36.5;33.8;27.8;--
330300;MIRACEMA;Total;Total;34.6;28.5;42.2;15.6;24.7;29;38.5;34.9;43.8;43.1;46.8;34;39.7;42.6;41.1;33.7;33.3
330310;NATIVIDADE;Total;Total;20.4;12.7;28.6;1.1;3.6;15.9;21.4;18.9;30.1;29.2;29.9;24.1;23.2;26;22.8;20.9;13.6
330320;NILOPOLIS;Total;Total;27.4;19.6;34.9;7.7;11.2;22.4;27.3;26.9;39.2;36.8;34.2;28.4;30.3;36.5;28.1;21.6;25.9
330330;NITEROI;Total;Total;24.4;18.4;30.5;13.6;11.6;20.4;20.6;24.3;32.4;31;30.8;27.5;26.9;30.5;27.1;20.7;50.6
330340;NOVA FRIBURGO;Total;Total;28.6;23;35.9;5.4;20.2;23.9;30.5;31.9;37.8;39.1;33.7;31.3;27;33.7;26.1;17.2;28.6
