cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330010;ANGRA DOS REIS;Total;Total;35.8;29.5;43.6;20.3;24.3;32.1;34.8;35.9;44.8;44.6;42.9;40.8;51.3;53.3;50.1;49.6;45.1
330015;APERIBE;Total;Total;20.3;13.8;28;8.6;8.1;10.8;21.4;19.2;32.1;35.1;25.2;15.6;24.2;33.9;23.4;15.1;11.8
330020;ARARUAMA;Total;Total;34.7;30.9;39.9;11.3;26.3;36.5;38.9;38.8;45.6;41.5;36.4;31.5;41.9;46.9;38;36.6;56.7
330022;AREAL;Total;Total;29.8;23.9;38.4;4.3;18;33.3;30.3;29.3;40.5;44;37.2;27.1;39.1;46.8;35.9;22.2;--
330023;ARMACAO DOS BUZIOS;Total;Total;38;34.1;42.8;18.7;30.8;36;43.7;41.7;48.3;43.6;40;34.3;44.2;52;36.8;32.7;25
330025;ARRAIAL DO CABO;Total;Total;34.5;31.9;38.1;18.1;27.7;38.7;36.1;41;43.8;38;34.3;31.9;41.4;50.4;38.9;28.6;--
330030;BARRA DO PIRAI;Total;Total;36.4;33.7;40.3;22.7;29.5;36.1;39.7;41.9;43.1;43.9;38.5;33.6;35.1;38.7;31.3;32.4;47.2
330040;BARRA MANSA;Total;Total;24.7;18.3;31.9;1.3;14.5;21;25.2;26.1;34.6;36.1;30.8;25.2;41.7;47;38.8;36;36.6
330045;BELFORD ROXO;Total;Total;31;25.2;37.8;6.3;20;28.5;32.4;33.7;40.5;40.4;35.2;32.5;43.6;48;41.3;38.4;30.1
330050;BOM JARDIM;Total;Total;38.9;30.2;50.7;3.3;24.5;33.5;44;40.3;54.7;50.4;50;44.2;46.6;48.6;51;38.7;40.9
330060;BOM JESUS DO ITABAPOANA;Total;Total;21.2;14.9;28.1;6.4;7.7;20.5;17.1;20.7;30.1;28.3;25.4;28;27.5;30.2;27.5;23.3;27.3
330070;CABO FRIO;Total;Total;35.2;30.7;41;19.1;29.6;33.8;35.7;36;44;43.7;39.7;34.4;32.8;40.3;30;23.6;24.6
330080;CACHOEIRAS DE MACACU;Total;Total;34.9;28.3;42.9;9.5;22.5;33.1;33.9;39.4;46.4;43.2;41;38.8;46.3;53.8;43.5;34;43.3
330090;CAMBUCI;Total;Total;26.5;21.2;33.1;5.3;11.6;31.1;25;28.8;32.5;36.1;32.8;30.5;45.1;48.7;47.1;38.4;38.2
330093;CARAPEBUS;Total;Total;26.3;22.2;31.6;4.4;14.6;21.8;38.4;29.9;34.6;33;30.3;27.7;43.6;45.8;48;36.1;--
330095;COMENDADOR LEVY GASPARIAN;Total;Total;41;30.1;52.4;15.5;28.4;30.9;35.8;38.8;52;58.7;49.5;47.5;49.2;53.2;55.7;29.5;--
330100;CAMPOS DOS GOYTACAZES;Total;Total;39.8;38.6;41.5;28.2;39;42.6;44.5;41.3;45.7;43.2;39.9;34.7;33.9;41.7;28.8;25.7;52
330110;CANTAGALO;Total;Total;38.1;36.3;40.6;27.6;30.1;47.6;34.8;40.7;47.8;42.3;36.4;30.6;29.6;36.2;27.3;20.3;--
330115;CARDOSO MOREIRA;Total;Total;43.4;42.1;45.2;28.9;42.4;42.1;50.2;48.3;48.6;53.1;42.7;32.9;36.9;36.7;34.1;41.9;32
330120;CARMO;Total;Total;30.5;27.1;35.5;2.9;24.9;30.6;35.1;40.4;37.3;37.4;32.7;33.3;35.5;42.1;28;35.6;23.5
330130;CASIMIRO DE ABREU;Total;Total;24.2;17.1;33;4.6;7.3;19.6;23.9;27.4;38;38.5;26.9;24.7;45.9;50.1;44.9;39.4;18.2
330140;CONCEICAO DE MACABU;Total;Total;25.3;19.2;32.7;3.6;13.6;19.9;31;26.5;33.2;33.4;32.8;31;32.7;38;26.1;28.4;37.9
330150;CORDEIRO;Total;Total;27;22;32.6;9;21.7;26.7;21.7;28.7;36.2;35.8;32;25.6;28;33.2;22.4;22.3;42.4
330160;DUAS BARRAS;Total;Total;40;32.5;50.8;10.7;11.5;41.8;37.9;50.4;56.6;48.9;49.1;46.5;42;46.2;32.9;45.6;--
330170;DUQUE DE CAXIAS;Total;Total;31.1;25.3;37.2;11.4;13.8;29.4;33.2;32.8;40.8;38.9;35;31.9;45.4;49.9;43;40.2;38.9
330180;ENGENHEIRO PAULO DE FRONTIN;Total;Total;23.4;21.9;25.2;11.8;21.2;30.6;24.9;19.7;24.5;27.3;23.5;24.8;24.8;24.1;22.1;26.7;55.6
330185;GUAPIMIRIM;Total;Total;34.9;31.3;39.3;20.5;30.5;36.3;33.8;36.8;43.2;39.8;38.4;32.2;44.8;51.8;43.2;36.4;21.4
330187;IGUABA GRANDE;Total;Total;31.9;26.5;37.9;15.2;28;30.2;30.8;28.6;40.1;42.6;35.6;31.2;34.3;42.5;30.6;26.1;30.8
330190;ITABORAI;Total;Total;34.4;31.5;38.1;23.6;27.3;31.7;38.5;36.1;42.1;40.3;36.1;30.6;42.5;46;40.1;39.7;37.6
330200;ITAGUAI;Total;Total;30.4;25.7;36.3;2.5;22.7;30.3;33.5;34.9;39.4;39.2;32.7;31.8;48;51.4;45;45.7;36.4
330205;ITALVA;Total;Total;28;24;33.3;5;12.6;34.2;33.7;31.9;33.2;32;36;32.4;33.1;37.9;35.2;23.7;30
330210;ITAOCARA;Total;Total;24.7;18.8;32;11.3;11.7;24.5;19.8;25.3;38.5;38.5;25.2;22;24.6;34;18;15.5;38.1
330220;ITAPERUNA;Total;Total;24.1;19.3;30.1;4;6.2;27.6;22.3;30.2;31.6;33;29.7;25.1;27.4;35;23.8;18.2;21.9
330225;ITATIAIA;Total;Total;30.8;26;38.8;3.3;24.9;29.1;33.7;32.6;43.6;42.1;34.5;28.9;32.3;44.6;24.6;7.8;--
330227;JAPERI;Total;Total;37.7;28.9;48.6;5.2;25.2;32.3;37.5;40.8;49.7;49.4;47.1;47.3;53.7;60.7;51.5;43.7;30.2
330230;LAJE DO MURIAE;Total;Total;33.3;21.7;48.1;--;4.3;22.8;31.1;37.9;56.5;51.4;41.1;37.6;36.9;45.1;36.3;25.7;45
330240;MACAE;Total;Total;28.7;22.3;36.9;7.5;18.5;25.8;29.4;30;39.2;36.6;37.5;33.2;34.7;40.9;32.6;26.7;25.6
330245;MACUCO;Total;Total;32;27.4;38.8;12.1;22.4;29.7;35.9;37.6;43.6;44.6;32.4;29.4;37;52.7;22.7;28.9;20
330250;MAGE;Total;Total;34.3;32;37.4;22.3;26.5;36.7;37.4;37.6;41;39.3;36.2;30.6;38.3;45.4;35;28.8;22.5
330260;MANGARATIBA;Total;Total;28.7;22.7;36.4;8.5;16.2;22.7;28.5;33.4;41.7;37.8;34.9;28.1;44.1;51.2;41.2;33.9;39.3
330270;MARICA;Total;Total;31.3;26.9;36.5;10.1;25.2;29.9;33.9;32.1;40;37.1;36;31.4;37.4;42.8;35.3;31.6;38.7
330280;MENDES;Total;Total;27.4;22.7;32.5;15.7;18.2;25.4;24.5;28.6;36.2;34.1;30.8;26.7;41.1;45;39.8;36;--
330285;MESQUITA;Total;Total;28;19.1;37.6;7.1;11.1;19.8;27.3;26.2;42.1;38.7;34.7;31.9;41;48.7;34;29.9;55.4
330290;MIGUEL PEREIRA;Total;Total;31.1;20.8;41.3;5.4;6.8;22.2;31.3;31.4;48.7;43;38.6;30.1;36;41.5;34.4;29.6;--
330300;MIRACEMA;Total;Total;36.2;30.8;43.3;22.1;25.6;34.1;35.9;36.7;42.9;50.3;38.6;40.2;41.9;48.5;40.5;33.4;36
