cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330310;NATIVIDADE;Total;Total;19.3;13.3;26.2;1.4;1.5;21.1;14.7;21.9;30.6;30.8;22.2;19.1;27.3;31.7;25.8;20.2;46.7
330320;NILOPOLIS;Total;Total;28.6;21.6;35;8.2;17.1;25.1;27.1;27.6;37.7;39.3;30.8;31.2;32.2;38;29.3;23.1;38.2
330330;NITEROI;Total;Total;24.3;18.3;30.5;10.6;11.9;21.1;18.6;26.3;31.4;34.2;28.9;26.8;29.6;35.7;27.4;22.2;49.4
330340;NOVA FRIBURGO;Total;Total;28.1;22.3;35.6;3.3;17;26.7;30.2;30.7;38;37.7;34.7;30.7;29.2;38.2;23.7;19.9;23.5
330350;NOVA IGUACU;Total;Total;29.4;22.5;36.4;9.5;10;21.8;31.9;32.7;40.1;38.1;34.3;31.8;40.5;44.9;39.3;33.9;24.2
330360;PARACAMBI;Total;Total;27.8;24.6;31.5;14.8;21.8;25.2;27.8;31.3;30;37.2;32.8;25.2;36.2;43;35.2;25.3;36.8
330370;PARAIBA DO SUL;Total;Total;29.6;24.1;35.9;4.6;22.1;31.5;30.3;28.8;39.2;35.7;36;30.7;36;43.8;32.1;22.7;--
330380;PARATI;Total;Total;35.2;32.1;39.6;15.4;27.5;35.7;38.5;39.1;45;39.4;35.9;35.4;40.7;47.4;38.1;29.8;48.1
330385;PATY DO ALFERES;Total;Total;29.9;22.4;38.2;9.8;18.2;24.9;25.3;31.6;38.6;41.5;36.8;35.2;36.9;44.9;31.1;27.7;48.7
330390;PETROPOLIS;Total;Total;30.4;24.8;36.9;14;21.3;25.3;30.6;31.1;37.9;39.7;37;31.4;39.6;46.5;36.5;31.2;10.9
330395;PINHEIRAL;Total;Total;30.5;25.3;37;3.2;19.1;28.9;34;37.3;41.9;43.3;30.4;29.5;26;30.3;25.4;14.7;62.1
330400;PIRAI;Total;Total;27.4;22.7;32.7;3.3;21;25.8;25.5;31.7;33.9;33.3;33.5;29.5;44;47.9;39.5;42.6;56
330410;PORCIUNCULA;Total;Total;26.8;20.6;34.5;3.2;5.1;25.7;21.9;38.1;33.2;42.4;29.6;32.5;31.6;36.5;31;24.8;25
330411;PORTO REAL;Total;Total;30.2;21.7;41;1.1;16.3;29.9;27.3;31.7;46.5;39.6;41.8;31.1;29.6;30.8;30;27;--
330412;QUATIS;Total;Total;34.6;26.6;45.2;0.7;19.7;30.7;35.3;37.8;49.3;50;42.3;33.8;39.7;46.4;42.4;20.3;--
330414;QUEIMADOS;Total;Total;32.4;24;41.6;6.2;9.9;20.6;36.8;37.3;44.1;41.3;41.9;38.3;48.3;54.7;45.3;41.4;26.2
330415;QUISSAMA;Total;Total;34.7;29.2;41.5;13.3;31.2;31.7;32.9;37.4;45.6;48.4;36.2;33.1;43.7;50.6;40;34.8;--
330420;RESENDE;Total;Total;23.7;18.8;29.1;1.9;15.8;26.4;23.9;23.6;31.9;32.7;27.7;21.7;30.6;38.2;28.3;17.3;53.6
330430;RIO BONITO;Total;Total;34.3;30.9;37.9;17.1;26.1;36.5;40.7;34.1;40;39.6;36.4;34.4;36.6;40.3;35.9;32.3;29.5
330440;RIO CLARO;Total;Total;32.8;29.7;37;17.1;31.6;34.5;31.1;34.5;42.3;39.9;34.3;25.9;45.2;46.5;48.9;40.1;--
330450;RIO DAS FLORES;Total;Total;36.2;27.5;47.5;0.7;27.4;31.4;32.9;42.6;55.6;49.1;41.6;38.8;52;54.9;50.8;50.6;42.1
330452;RIO DAS OSTRAS;Total;Total;24.8;20.5;30.3;6.6;16.7;23.5;28;27.5;30.8;33.3;29.2;27.1;31.6;33.4;31.7;28.2;35.7
330455;RIO DE JANEIRO;Total;Total;21.8;15.6;29.1;5.9;7;20.1;21.7;22.1;31.9;32.1;27.8;22.5;43.5;47.7;41.9;38.3;20.6
330460;SANTA MARIA MADALENA;Total;Total;38.2;31;49.1;5.8;10.9;43.8;37.1;42.6;59.8;49.3;42;34;29.9;41.6;9.7;34.8;--
330470;SANTO ANTONIO DE PADUA;Total;Total;23;18.2;29;6.1;15;22.6;19.2;27.6;32.6;32.9;25.1;23.4;28.5;34;27.6;20.1;22.7
330475;SAO FRANCISCO DE ITABAPOANA;Total;Total;41.9;38.7;46.9;26.3;38.1;41.2;45.6;45.9;51.1;51.3;41.7;38.2;36.3;43.8;32.5;26;40
330480;SAO FIDELIS;Total;Total;25.3;20.6;31;4.1;15.7;24.6;23.3;31.5;29.8;32.6;33.7;27.5;35.3;41.3;34.3;29.5;27
330490;SAO GONCALO;Total;Total;30.5;26.2;35;15.4;25.3;27.2;26.5;33.7;38.9;37.5;31.6;29.7;35.7;41.2;33.1;29.7;29.6
330500;SAO JOAO DA BARRA;Total;Total;38.2;33.9;44;19.9;31.1;40.5;41.4;36.9;50;43.8;40.8;37.8;44.2;48.8;41.7;40.9;29.4
330510;SAO JOAO DE MERITI;Total;Total;28.3;20.4;36.8;8.3;11;25.8;26.3;27.2;39.3;39.3;35.2;32.3;41.6;46;38.3;38.4;19.7
330513;SAO JOSE DE UBA;Total;Total;24.8;9.9;38.5;--;--;15.7;14.7;17.6;37.5;37.5;39;40.4;38.8;43.5;35.6;33.9;--
330515;SAO JOSE DO VALE DO RIO PRETO;Total;Total;33;30.8;35.7;19.8;24.1;32.8;42.2;37.2;41.7;39.8;29.7;27.3;22.3;25.1;26;13.5;--
330520;SAO PEDRO DA ALDEIA;Total;Total;34;28.7;41.1;16.6;29.4;30.3;34.3;33.2;44.6;44.3;36.8;35.9;42.2;49.6;39;34.2;37.5
330530;SAO SEBASTIAO DO ALTO;Total;Total;33.8;31.3;37.2;7.3;36.3;33.3;37;35.3;37.3;40.5;37.1;33.6;33.3;35.8;29.3;33.8;33.3
330540;SAPUCAIA;Total;Total;38.4;35.9;41.6;21.5;26.1;45.2;40.1;44;44.4;41.6;41.2;36.9;39.4;40.9;43;30.6;42.9
330550;SAQUAREMA;Total;Total;34.2;30.5;38.7;20.7;28.9;36.3;34.1;33.5;41.5;41.7;37.2;32.1;40.7;48;37.4;33.5;36.8
330555;SEROPEDICA;Total;Total;32.2;31.7;33;23.4;31.9;34.1;35.7;34.1;37.5;33.1;31.1;29.2;39.7;43.6;37.6;34;50
330560;SILVA JARDIM;Total;Total;39.3;36.8;43;21.8;38.2;41.8;43.3;39.3;47.1;46.7;40.7;27.4;46;53.8;42.2;34.5;28.6
330570;SUMIDOURO;Total;Total;37;31.3;45.5;5.8;29.1;36.5;38.7;41.2;53.6;46.9;35.7;41.5;39;43.4;36.4;29.9;40.9
330575;TANGUA;Total;Total;41.6;33.7;52.9;16.5;30.3;38.4;42.5;38.5;54.6;57.3;47.2;49.7;40.8;47.8;34.3;35.4;--
330580;TERESOPOLIS;Total;Total;27.1;21.8;33.9;4.8;15.5;26.3;29;28.9;36.1;36.8;32.9;28.1;32.5;38.4;30.7;24.6;18.2
330590;TRAJANO DE MORAIS;Total;Total;31.3;23.2;41.1;3.9;7.1;32.8;26.8;37.4;44.7;41.7;36;40.7;43.3;52.3;36.2;42.2;33.3
330600;TRES RIOS;Total;Total;36.4;33.7;39.9;23.7;29.2;35.6;41.1;39.2;44;43.2;34.7;36.1;33.4;41.8;28.9;21.5;46.7
330610;VALENCA;Total;Total;33.5;29.3;38.9;8.1;27.2;33.3;34.3;41.1;41.6;41.9;36.8;33.8;37.3;44.3;34.2;29.1;42.9
330615;VARRE-SAI;Total;Total;35.2;24.7;49.9;2.5;4.3;32.2;35.4;44.6;47.6;52.2;54.7;44;39.1;38.3;36.2;32.3;77.3
330620;VASSOURAS;Total;Total;36.4;33.9;40.1;17.9;28.5;39;39.4;44.6;45;42.2;33;37.5;35.6;43.7;32.4;23.4;34
330630;VOLTA REDONDA;Total;Total;21.6;16.9;26.8;1.6;11.9;20.3;24.5;23.5;27.8;29.1;26.1;23.5;29.7;36.2;27.4;21.8;23
