cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330150;CORDEIRO;Total;Total;7.1;18.7;26.5;25.7;27.5;41.5;30.3;34.1;27;21.8;34.2;27.5;38.5;26.6;22.9;20.5;29.9
330160;DUAS BARRAS;Total;Total;16.6;17.4;42.1;43.2;54.4;56.2;53.2;49.4;46.2;36.4;52.1;42.4;61.9;49.3;33.8;--;51.2
330170;DUQUE DE CAXIAS;Total;Total;11;13.8;30.2;32.2;32.1;43.1;39.7;35.8;34;25.4;38.8;31.9;51.5;47.1;44.9;21.4;48.2
330180;ENGENHEIRO PAULO DE FRONTIN;Total;Total;9.6;22.8;23.9;18.8;17.2;24.4;24.9;25.5;19.7;18.8;23.6;20.9;25.8;22.1;26.8;29.2;25.1
330185;GUAPIMIRIM;Total;Total;14.3;27.7;35;38;33.6;39.6;37.1;34.6;34.1;30;36.7;32.8;52.7;45.8;41;44.4;48
330187;IGUABA GRANDE;Total;Total;14.9;23.7;28.6;33;30.4;43;40.8;35.5;26.8;26.5;37.4;31.5;37.5;38.1;33.8;35.3;36.8
330190;ITABORAI;Total;Total;22.2;31.8;35.9;35.8;36.4;43.9;41.1;35.2;26;32.5;37.1;34.5;48.6;44.2;44.4;37.9;45.8
330200;ITAGUAI;Total;Total;2.1;22.1;30.7;31.7;32.8;41.3;39;35.5;34.5;25;38;30.6;57;53.7;48.6;37.7;53.7
330205;ITALVA;Total;Total;2.7;22.4;37.4;33.3;34.2;42.1;47.5;35.8;30.1;26.8;39.7;32.3;38.7;33.6;37.5;27.3;36.4
330210;ITAOCARA;Total;Total;2.6;14.1;20;20.9;31.5;40.6;32.5;30.5;21.6;18.5;32.2;24.6;30.6;26.6;20.4;12.5;26.1
330220;ITAPERUNA;Total;Total;6.7;19;28.3;23.8;27.8;36.4;33.3;28.9;31.9;21.4;32.8;26.5;33.8;24.1;21.9;42.2;28
330225;ITATIAIA;Total;Total;3.1;15.6;28.3;31.2;35.2;43.2;39.8;32.8;28.4;24.4;37.6;29.3;32.5;19.9;13.3;--;25.4
330227;JAPERI;Total;Total;5.9;26.5;35.8;40.6;36.8;51.9;49.6;48.6;46;29.8;49.5;38.4;56;53.3;50.6;52.7;53.8
330230;LAJE DO MURIAE;Total;Total;3.8;7.7;33.7;29.2;40.2;58.5;47.5;36.4;45.5;26;48.1;35.9;47.2;31.8;32.8;42.9;39.3
330240;MACAE;Total;Total;7.5;19.4;27.2;29.6;27.8;38.7;39.8;35.2;30.1;22.5;36.5;28.6;38.3;33.1;28.3;46.6;34.3
330245;MACUCO;Total;Total;14.6;23.3;35.4;31.6;39.3;46.6;32;32.7;27.1;28.8;35.9;31.4;35.5;41.8;12;64.7;34.3
330250;MAGE;Total;Total;15.8;32.9;34.8;39;34.7;43.4;38.7;34.7;34.1;30.5;38.3;33.8;42.9;38.5;34;27.9;39.2
330260;MANGARATIBA;Total;Total;4.5;17.6;22.2;28.9;29.8;40.6;40.1;34.2;29.4;21.3;37.1;28.1;50.5;39.2;51.2;29.4;47.5
330270;MARICA;Total;Total;11.8;25.4;32.1;31.6;33.2;39;35.8;35.8;32.7;27.5;36.1;31.4;39.8;34.4;29.9;32.3;35.5
330280;MENDES;Total;Total;12.1;18.6;23.7;24.4;25.8;31;28.7;26.3;29.4;21.2;28.9;24.7;43.2;43.2;27;--;38.2
330285;MESQUITA;Total;Total;6.9;10.7;19.4;27.6;29.2;42.4;39.7;33.3;36;19.9;38.6;29;42.8;39.4;37.7;48.6;40.9
330290;MIGUEL PEREIRA;Total;Total;5.1;8.7;22.6;33.7;35;44;43.4;31;33.6;23;38.9;30.5;37.3;32.2;28.7;--;33.3
330300;MIRACEMA;Total;Total;18.3;25.3;33.1;36.6;36;47.5;39.1;41.7;38.6;30.2;41.9;35.3;48.3;40.8;42.3;27.3;44
330310;NATIVIDADE;Total;Total;--;3.4;18.8;17.4;25.8;29.9;25.5;24.5;21.7;14.4;25.7;19.7;29.7;22.5;28.1;16.7;26.6
330320;NILOPOLIS;Total;Total;9;17.3;23.2;27.3;29.3;40.2;32.7;32.8;31;22.2;34.5;28.5;37.8;31.2;26.1;34.4;33.2
330330;NITEROI;Total;Total;9.2;10.2;20.4;20.5;24;34.2;33.5;28.7;28.2;17.6;31.4;24.3;35;28.7;24.4;58.5;30.5
330340;NOVA FRIBURGO;Total;Total;2.9;18.8;25.5;29.2;29;39.3;37.6;34.9;29.8;21.6;35.9;27.7;32.8;25.6;21.3;48.5;28.1
330350;NOVA IGUACU;Total;Total;6.9;9.3;22.7;30.7;30.8;41;37;34.7;35.4;21.7;37.4;29.4;46.8;43;42.7;22;44.4
330360;PARACAMBI;Total;Total;14.5;24.5;25.1;28.9;27;38.2;37.5;30.5;32.3;24.4;34.9;29.2;39.7;35.7;30.4;37.2;36.2
330370;PARAIBA DO SUL;Total;Total;14.7;24.1;31;26.7;38.8;35.1;42;36.4;52.9;27.9;41.7;34.3;39.9;28;19.7;--;31.8
330380;PARATI;Total;Total;8.6;27.3;36.7;37.2;35.9;42.6;36.4;36.9;37.9;30.4;38.6;33.6;43.4;35.5;32.9;25;38.6
330385;PATY DO ALFERES;Total;Total;17.3;18.3;25.8;40;32.2;46.4;38.9;41.1;42.2;27.2;42.4;33.8;39;38.3;32.5;36;37.3
330390;PETROPOLIS;Total;Total;12.5;20.3;26.6;29.6;29.8;38.9;40.3;38.2;40.2;24.1;39.4;31.3;46.8;38.8;35.5;24.4;41.4
330395;PINHEIRAL;Total;Total;2.5;22.9;33.7;34.2;40.8;44.2;35.3;34.5;29.3;28.1;36.8;31.8;27.4;23.7;30.2;68;28
330400;PIRAI;Total;Total;7.1;24.5;25.9;34.1;30.5;37.3;41.2;36.9;36.5;25.5;38.1;31.5;48.2;50.6;40.9;38.5;46.9
330410;PORCIUNCULA;Total;Total;5.9;3.1;28.2;27.6;31.2;47;33.8;37.2;32.2;21;37.9;28.4;37.4;33.3;25;30.6;32.7
330411;PORTO REAL;Total;Total;7.7;24;24.2;26.4;34.8;39.7;44;38;24.3;24.2;38.1;30.2;30.1;36.1;25.3;--;31.3
330412;QUATIS;Total;Total;1.1;22.4;31.8;36;37.7;52;40.4;41.8;37.7;27.2;43.8;33.9;45.7;32.9;36.1;--;39.9
330414;QUEIMADOS;Total;Total;5.7;9.6;23.9;38.5;35.3;44.8;42.3;41.2;40;24.4;42.3;32.8;51.8;45.3;44.5;24.6;47.6
330415;QUISSAMA;Total;Total;18.1;27.2;23.3;34.9;38.4;51.7;42.8;35.5;32.8;28.7;42.1;34.6;51;46.1;37.1;--;46.4
330420;RESENDE;Total;Total;3.1;18.2;22.7;23;22.8;36.1;31.6;23.9;26.8;18.5;30.3;24.1;36.2;24.7;23.9;44.9;30.2
330430;RIO BONITO;Total;Total;17.4;33.3;36.8;32.6;31;40.9;38.2;36.9;33.5;30.1;37.7;33.6;39.9;37.5;39;32.1;38.7
330440;RIO CLARO;Total;Total;19;32;27.7;31.5;35.4;44.8;37.5;29.3;21.8;29.2;35.3;31.7;59.3;49.6;51.1;--;53.5
330450;RIO DAS FLORES;Total;Total;4;22.7;31.6;43.2;40.6;46.2;47.6;37.3;37.3;29.5;43.3;35.6;59.8;44.7;45.1;18.8;49.7
330452;RIO DAS OSTRAS;Total;Total;5.1;18.3;27.2;28;26.8;34.5;33.4;30.4;25.7;21.4;31.4;25.7;42.4;34.8;33.7;34.8;38.1
330455;RIO DE JANEIRO;Total;Total;5;7.6;18.4;21.2;20.7;32.8;28.4;31.7;26.6;14.8;30.1;21.8;50.4;46.4;43.5;26.9;47.4
330460;SANTA MARIA MADALENA;Total;Total;7.7;11.8;44.3;30.7;45.3;57.8;48.3;40.8;35.7;31.1;47.7;37.7;15.1;38.1;20;--;23.9
330470;SANTO ANTONIO DE PADUA;Total;Total;9.8;17.8;18.9;25.8;26.3;32.9;31.6;28.1;23.6;19.9;29.5;24.2;30.3;24.8;21.5;17.9;26.3
330475;SAO FRANCISCO DE ITABAPOANA;Total;Total;24.4;37.3;42.7;41.4;46.2;50.4;46.7;44.6;37.1;38.1;45.5;40.9;39.8;35.2;29.6;28.6;35.8
330480;SAO FIDELIS;Total;Total;6.8;19.2;25.8;29.7;28.2;35.5;37.4;29.2;30.6;22.4;33.5;27.3;35.9;35;31.2;30.1;34
330490;SAO GONCALO;Total;Total;13.8;26.6;29.3;28.5;33;42.8;38.3;34.3;31.9;27.1;37.4;32.1;41.6;37.1;35.1;33.7;38.5
330500;SAO JOAO DA BARRA;Total;Total;21.5;30.4;44.7;39.2;41.2;49.3;47.4;41.9;43.6;35.6;46.2;40.2;50.7;45.6;42.6;18.2;46.7
330510;SAO JOAO DE MERITI;Total;Total;7.2;12.1;27.3;24.2;26.8;41.5;38.6;36.7;34.8;20.7;38.2;29.3;46.2;45.1;40.7;28.3;44.4
330513;SAO JOSE DE UBA;Total;Total;1.1;1.2;15.9;12.6;15.8;42.5;36.7;47.1;41.5;9.8;41.9;27.5;45.5;44.6;37.5;--;42.9
330515;SAO JOSE DO VALE DO RIO PRETO;Total;Total;20.3;29.1;34.4;37.5;33.1;45.2;35;34.5;25.6;30.8;36.5;33.3;31.5;16.1;22.7;--;24.3
330520;SAO PEDRO DA ALDEIA;Total;Total;18.8;26.8;31.6;34.6;33.7;45.7;42.1;38.5;35.7;29.2;41.2;34.2;49.8;40.6;35;40.7;43.3
330530;SAO SEBASTIAO DO ALTO;Total;Total;2.9;37.4;40.1;35.7;30.4;50;46.8;38.5;29.4;29.7;42.3;35;42.3;36.4;41.4;87.5;42.4
330540;SAPUCAIA;Total;Total;18.1;31;35.3;40.5;35.2;43.7;41.3;41.5;37.9;32.5;41.3;36.1;47.5;41.3;50.5;43.8;46.4
330550;SAQUAREMA;Total;Total;23.4;34.5;33.7;35.1;37.9;46.7;43.9;37.3;37.2;33.1;42.1;37;46.9;39.7;42.9;48.2;43.8
330555;SEROPEDICA;Total;Total;22.4;32.7;34.8;34.8;32.6;37.4;35.6;30.4;28.6;31.3;33.5;32.3;45.3;45.2;42.2;39.6;44.3
330560;SILVA JARDIM;Total;Total;16.1;38;41.1;39.8;38.4;51.4;50.9;41.8;42.1;35.1;48.1;40.1;49.2;40.4;29.9;20;40.2
330570;SUMIDOURO;Total;Total;4.6;24.1;35.3;40.9;46.3;53.3;45.8;48.5;36.4;30.9;46.5;37.3;45.1;31.1;35.3;38.7;38.6
330575;TANGUA;Total;Total;22.4;33.5;44.1;40.1;43.8;59.2;53.7;56;46;37.2;55;44.1;46.6;44.9;38.4;--;44.3
330580;TERESOPOLIS;Total;Total;4.9;21.6;27.3;27.8;30.4;36.4;36.1;32.7;32.6;23.1;34.7;28.1;39;31.5;29.7;21.8;34.3
330590;TRAJANO DE MORAIS;Total;Total;5.2;7.6;32.8;34.4;38.3;44.8;45.3;46.9;42.6;25.3;45;33.8;45.9;49.5;41.9;59.6;47.7
330600;TRES RIOS;Total;Total;22;28.1;41.3;37.5;43.7;45.1;40;39.1;32;34.6;39.6;36.7;38.5;27.6;26.5;55.2;32.1
330610;VALENCA;Total;Total;7.3;23.6;32.4;35.9;37.3;42.6;39.8;35.9;33.3;27.9;38.4;32.5;47.1;36.2;37.9;50;41.4
330615;VARRE-SAI;Total;Total;3.4;5.1;34.5;31.7;44.7;46.6;60.5;47.9;41;25.7;50.1;36.1;42.3;39.3;34.8;43.5;39.8
330620;VASSOURAS;Total;Total;17.5;29.1;39.3;41.8;40.7;48.7;37.2;37.8;34.8;33.8;40.3;36.3;44.2;31.4;31.1;46.5;37.2
330630;VOLTA REDONDA;Total;Total;1.9;12.4;21.7;23;21.8;30.4;29.1;26.3;26.4;16.8;28.2;22.2;39.5;30.6;27;13;33.3
