cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330010;ANGRA DOS REIS;Total;Total;15.2;26;32.9;36.5;34.8;46.3;45.8;43.3;41.6;29.4;44.5;36;57.3;54.6;48.8;34.6;54.1
330015;APERIBE;Total;Total;1.7;5.8;21.9;17;18.5;36.5;31.8;18.5;19.7;13.8;28.2;20;34.7;19;15.7;25;23.8
330020;ARARUAMA;Total;Total;12.5;27.5;35.7;39.3;38.5;47.8;44.7;36.4;32.8;31;41.9;35.6;48.2;43.2;45.4;45.8;46
330022;AREAL;Total;Total;2.9;21.8;28;31.5;29.7;47.3;41.2;33.8;43.2;23.9;41.9;30.9;50.8;36.9;28.6;--;41.5
330023;ARMACAO DOS BUZIOS;Total;Total;10.3;29.3;39.9;38.3;37.6;46.4;44.9;43.3;38.5;31.3;43.9;37;48.3;45.9;34;40;44.9
330025;ARRAIAL DO CABO;Total;Total;18.2;32.7;34.2;38.9;35;42;40.4;40.9;35.9;31.7;40.2;35.4;49.4;44.5;30.8;25;43.3
330030;BARRA DO PIRAI;Total;Total;21.6;27.4;39.2;38.4;39.9;44;40.8;36.5;31;33.2;38.7;35.4;43.8;42.2;33.9;62.7;41.2
330040;BARRA MANSA;Total;Total;2.1;14.2;23.5;24.6;25;36.9;36.5;30.4;30.8;18.6;34.2;25.6;50.8;42.8;41.1;35.5;45.9
330045;BELFORD ROXO;Total;Total;4.4;20.1;30;31;31.8;43;42;37.8;35.4;24.9;40.1;32;49.9;48.5;47.2;35.6;48.7
330050;BOM JARDIM;Total;Total;3;23.4;39.7;39.3;44;54.8;52.8;53.1;50.3;31.2;53.1;40.3;60.5;46.8;45;30;51.9
330060;BOM JESUS DO ITABAPOANA;Total;Total;3.5;6.6;22.3;14.5;24.6;29.4;27.5;26.1;25.6;15.4;27.2;20.8;31;29;25.5;24.4;28.8
330070;CABO FRIO;Total;Total;18.8;32;36.8;38.3;39.7;45.4;42.5;37.3;31.8;33.2;40.2;36.1;37.1;29.4;29.8;25.7;32.9
330080;CACHOEIRAS DE MACACU;Total;Total;9.2;28.1;37.6;39.8;42.8;47.1;43.5;42;39.7;32.7;43.6;37.3;51.1;42.8;42.3;21.3;45.9
330090;CAMBUCI;Total;Total;8.7;22.1;29.8;28.8;31.8;38.5;38.6;31.3;23.4;25.5;33.1;28.7;57.3;43.8;45.8;46.5;49.7
330093;CARAPEBUS;Total;Total;3.1;21.6;38.4;37.8;31.4;37.9;35.9;34.5;38.4;27.4;36.6;31.4;51.8;40.7;54;--;48.3
330095;COMENDADOR LEVY GASPARIAN;Total;Total;22.4;29.7;33.3;35.2;41.7;60;51.3;50.6;39.8;32.8;50.6;41.3;63.6;43.8;35.2;--;51.5
330100;CAMPOS DOS GOYTACAZES;Total;Total;28.1;38.4;44.6;41.9;40;47.6;42.5;38.6;33.8;38.3;41.2;39.5;37;30.6;30.6;52.3;33.7
330110;CANTAGALO;Total;Total;20.6;38.9;45;33.6;38.5;50.2;43.4;39.3;32.5;35.7;42.7;38.6;37.1;32.1;32.8;22.2;34.1
330115;CARDOSO MOREIRA;Total;Total;27.9;40.7;46.1;43.6;45.6;57.1;46;36.2;29.5;41;44;42.2;45.9;46.1;28.9;25.9;39.2
330120;CARMO;Total;Total;6.1;22.4;32.6;39.9;34.1;39.1;37.3;40.2;30.9;27.6;37.3;31.6;39.4;31.9;38.7;47.1;37.8
330130;CASIMIRO DE ABREU;Total;Total;5.4;9.2;21.7;25.4;30.1;41.1;35.4;29.7;26.7;19;34.1;25.6;58.5;49.4;46.1;33.3;52.3
330140;CONCEICAO DE MACABU;Total;Total;1.4;14.4;25;25.7;29.7;35.8;37.1;35.2;30.1;20.1;34.8;27.1;33.8;33.9;30.9;25.4;32.6
